player1,player2,time_stamp,time_to_score,who_serves,who_scores,player_skill1,player_skill2,game_date,game_id,player1_id,player2_id
21,4,660.100683724347,20.8498582995576,2,1,1,3,2020-11-18,1,Chris,Luis
1,0,15.179317416612,15.179317416612,2,1,3,2,2021-04-02,2,Luis,Otto
1,1,27.2798807578076,12.1005633411955,2,2,3,2,2021-04-02,2,Luis,Otto
1,2,39.0019482302729,11.7220674724653,2,2,3,2,2021-04-02,2,Luis,Otto
2,2,66.8916372407581,27.8896890104852,2,1,3,2,2021-04-02,2,Luis,Otto
3,2,106.12575989432,39.2341226535619,2,1,3,2,2021-04-02,2,Luis,Otto
4,2,154.943532437807,48.8177725434868,1,1,3,2,2021-04-02,2,Luis,Otto
4,3,167.109426003219,12.1658935654118,1,2,3,2,2021-04-02,2,Luis,Otto
5,3,198.404028337396,31.2946023341777,1,1,3,2,2021-04-02,2,Luis,Otto
5,4,222.978783198041,24.5747548606445,1,2,3,2,2021-04-02,2,Luis,Otto
5,5,237.128645369903,14.1498621718624,1,2,3,2,2021-04-02,2,Luis,Otto
6,5,272.019855313039,34.8912099431361,2,1,3,2,2021-04-02,2,Luis,Otto
7,5,316.203297650495,44.1834423374562,2,1,3,2,2021-04-02,2,Luis,Otto
7,6,353.732225071048,37.5289274205523,2,2,3,2,2021-04-02,2,Luis,Otto
8,6,373.829150765764,20.0969256947163,2,1,3,2,2021-04-02,2,Luis,Otto
8,7,383.264146821044,9.43499605528026,2,2,3,2,2021-04-02,2,Luis,Otto
9,7,414.381311079141,31.1171642580965,1,1,3,2,2021-04-02,2,Luis,Otto
10,7,424.641544109858,10.2602330307171,1,1,3,2,2021-04-02,2,Luis,Otto
10,8,438.755552923669,14.1140088138116,1,2,3,2,2021-04-02,2,Luis,Otto
11,8,470.168682235593,31.4131293119237,1,1,3,2,2021-04-02,2,Luis,Otto
12,8,512.617593866665,42.448911631072,1,1,3,2,2021-04-02,2,Luis,Otto
12,9,542.877551976874,30.259958110209,2,2,3,2,2021-04-02,2,Luis,Otto
12,10,560.551495128412,17.6739431515374,2,2,3,2,2021-04-02,2,Luis,Otto
12,11,593.795816191265,33.2443210628531,2,2,3,2,2021-04-02,2,Luis,Otto
12,12,630.949467250033,37.153651058769,2,2,3,2,2021-04-02,2,Luis,Otto
12,13,642.260020458896,11.3105532088621,2,2,3,2,2021-04-02,2,Luis,Otto
13,13,652.849375311882,10.5893548529869,1,1,3,2,2021-04-02,2,Luis,Otto
14,13,667.216234352824,14.3668590409413,1,1,3,2,2021-04-02,2,Luis,Otto
14,14,692.900879648211,25.6846452953872,1,2,3,2,2021-04-02,2,Luis,Otto
14,15,699.980551071035,7.07967142282391,1,2,3,2,2021-04-02,2,Luis,Otto
15,15,716.782105321053,16.8015542500183,1,1,3,2,2021-04-02,2,Luis,Otto
15,16,745.23091794373,28.448812622677,2,2,3,2,2021-04-02,2,Luis,Otto
16,16,779.563305641467,34.3323876977367,2,1,3,2,2021-04-02,2,Luis,Otto
17,16,800.205205102465,20.6418994609981,2,1,3,2,2021-04-02,2,Luis,Otto
17,17,830.602706614196,30.3975015117312,2,2,3,2,2021-04-02,2,Luis,Otto
17,18,866.083502119013,35.480795504817,2,2,3,2,2021-04-02,2,Luis,Otto
17,19,889.082431183149,22.9989290641354,1,2,3,2,2021-04-02,2,Luis,Otto
17,20,914.077918875947,24.9954876927984,1,2,3,2,2021-04-02,2,Luis,Otto
17,21,948.299468262299,34.2215493863518,1,2,3,2,2021-04-02,2,Luis,Otto
1,0,20.219242880166,20.219242880166,1,1,2,1,2020-08-24,3,Otto,Jonny
1,1,44.8679978032343,24.6487549230683,1,2,2,1,2020-08-24,3,Otto,Jonny
1,2,79.3652814827661,34.4972836795318,1,2,2,1,2020-08-24,3,Otto,Jonny
1,3,113.385124830001,34.0198433472349,1,2,2,1,2020-08-24,3,Otto,Jonny
1,4,132.032960494942,18.6478356649406,1,2,2,1,2020-08-24,3,Otto,Jonny
2,4,162.81809279004,30.7851322950986,2,1,2,1,2020-08-24,3,Otto,Jonny
3,4,189.26556471208,26.4474719220394,2,1,2,1,2020-08-24,3,Otto,Jonny
4,4,219.101886902508,29.8363221904285,2,1,2,1,2020-08-24,3,Otto,Jonny
4,5,254.445970825302,35.3440839227935,2,2,2,1,2020-08-24,3,Otto,Jonny
4,6,279.097664426155,24.6516936008539,2,2,2,1,2020-08-24,3,Otto,Jonny
5,6,290.467276844123,11.3696124179679,1,1,2,1,2020-08-24,3,Otto,Jonny
6,6,316.495709887547,26.0284330434232,1,1,2,1,2020-08-24,3,Otto,Jonny
6,7,348.430274715008,31.9345648274619,1,2,2,1,2020-08-24,3,Otto,Jonny
6,8,363.861102766907,15.4308280518984,1,2,2,1,2020-08-24,3,Otto,Jonny
6,9,382.053311891552,18.1922091246457,1,2,2,1,2020-08-24,3,Otto,Jonny
7,9,419.89661293574,37.8433010441873,2,1,2,1,2020-08-24,3,Otto,Jonny
8,9,445.125269555725,25.2286566199855,2,1,2,1,2020-08-24,3,Otto,Jonny
9,9,464.420263051826,19.2949934961012,2,1,2,1,2020-08-24,3,Otto,Jonny
10,9,489.106621545578,24.6863584937515,2,1,2,1,2020-08-24,3,Otto,Jonny
10,10,508.35114617494,19.2445246293621,2,2,2,1,2020-08-24,3,Otto,Jonny
10,11,526.541482610801,18.190336435861,1,2,2,1,2020-08-24,3,Otto,Jonny
10,12,564.749307264389,38.2078246535875,1,2,2,1,2020-08-24,3,Otto,Jonny
10,13,573.523022830856,8.77371556646689,1,2,2,1,2020-08-24,3,Otto,Jonny
10,14,607.781030477318,34.2580076464621,1,2,2,1,2020-08-24,3,Otto,Jonny
11,14,630.018486146725,22.2374556694072,1,1,2,1,2020-08-24,3,Otto,Jonny
11,15,695.66245847732,65.6439723305956,2,2,2,1,2020-08-24,3,Otto,Jonny
11,16,705.249726179936,9.5872677026152,2,2,2,1,2020-08-24,3,Otto,Jonny
11,17,734.51317143578,29.2634452558446,2,2,2,1,2020-08-24,3,Otto,Jonny
11,18,760.625108309755,26.1119368739744,2,2,2,1,2020-08-24,3,Otto,Jonny
12,18,800.118370197381,39.4932618876261,2,1,2,1,2020-08-24,3,Otto,Jonny
13,18,831.12496323665,31.0065930392689,1,1,2,1,2020-08-24,3,Otto,Jonny
13,19,844.966304475028,13.841341238378,1,2,2,1,2020-08-24,3,Otto,Jonny
13,20,867.758876062153,22.7925715871253,1,2,2,1,2020-08-24,3,Otto,Jonny
13,21,888.860440230261,21.101564168108,1,2,2,1,2020-08-24,3,Otto,Jonny
1,0,19.768803000614,19.768803000614,1,1,3,3,2020-08-28,4,Luis,Karo
1,1,29.2527824671639,9.48397946654982,1,2,3,3,2020-08-28,4,Luis,Karo
1,2,67.1661071597587,37.9133246925949,1,2,3,3,2020-08-28,4,Luis,Karo
2,2,91.6873752636335,24.5212681038748,1,1,3,3,2020-08-28,4,Luis,Karo
2,3,109.995851762207,18.3084764985733,1,2,3,3,2020-08-28,4,Luis,Karo
2,4,134.502039782434,24.5061880202272,2,2,3,3,2020-08-28,4,Luis,Karo
3,4,167.77800129045,33.2759615080164,2,1,3,3,2020-08-28,4,Luis,Karo
4,4,192.607093833888,24.8290925434373,2,1,3,3,2020-08-28,4,Luis,Karo
4,5,235.646448251632,43.0393544177442,2,2,3,3,2020-08-28,4,Luis,Karo
4,6,256.004211862416,20.357763610784,2,2,3,3,2020-08-28,4,Luis,Karo
4,7,279.612090738253,23.6078788758371,1,2,3,3,2020-08-28,4,Luis,Karo
5,7,303.139996378974,23.5279056407215,1,1,3,3,2020-08-28,4,Luis,Karo
6,7,327.018643956765,23.8786475777909,1,1,3,3,2020-08-28,4,Luis,Karo
6,8,386.10296782944,59.0843238726746,1,2,3,3,2020-08-28,4,Luis,Karo
6,9,407.123167939024,21.0202001095844,1,2,3,3,2020-08-28,4,Luis,Karo
7,9,438.769177659481,31.6460097204565,2,1,3,3,2020-08-28,4,Luis,Karo
7,10,451.891670945166,13.1224932856852,2,2,3,3,2020-08-28,4,Luis,Karo
8,10,477.297473199545,25.4058022543794,2,1,3,3,2020-08-28,4,Luis,Karo
9,10,507.246516388947,29.9490431894014,2,1,3,3,2020-08-28,4,Luis,Karo
10,10,537.966186780065,30.7196703911178,2,1,3,3,2020-08-28,4,Luis,Karo
10,11,561.989924190041,24.0237374099768,1,2,3,3,2020-08-28,4,Luis,Karo
11,11,582.553881328139,20.563957138098,1,1,3,3,2020-08-28,4,Luis,Karo
12,11,604.661873043401,22.1079917152613,1,1,3,3,2020-08-28,4,Luis,Karo
13,11,632.868786536636,28.2069134932357,1,1,3,3,2020-08-28,4,Luis,Karo
13,12,667.78860207541,34.9198155387739,1,2,3,3,2020-08-28,4,Luis,Karo
13,13,700.266652882665,32.4780508072542,2,2,3,3,2020-08-28,4,Luis,Karo
14,13,730.386690398523,30.1200375158587,2,1,3,3,2020-08-28,4,Luis,Karo
14,14,761.471044104327,31.0843537058035,2,2,3,3,2020-08-28,4,Luis,Karo
14,15,783.767572821754,22.296528717427,2,2,3,3,2020-08-28,4,Luis,Karo
15,15,837.114560378439,53.3469875566855,2,1,3,3,2020-08-28,4,Luis,Karo
16,15,856.812815822006,19.6982554435669,1,1,3,3,2020-08-28,4,Luis,Karo
17,15,897.278274139801,40.4654583177948,1,1,3,3,2020-08-28,4,Luis,Karo
17,16,935.080559015337,37.8022848755357,1,2,3,3,2020-08-28,4,Luis,Karo
18,16,950.674588757888,15.594029742551,1,1,3,3,2020-08-28,4,Luis,Karo
19,16,961.391760952803,10.7171721949154,1,1,3,3,2020-08-28,4,Luis,Karo
19,17,978.650439670278,17.2586787174753,2,2,3,3,2020-08-28,4,Luis,Karo
19,18,1011.84662772823,33.196188057948,2,2,3,3,2020-08-28,4,Luis,Karo
20,18,1039.28942551963,27.4427977913988,2,1,3,3,2020-08-28,4,Luis,Karo
21,18,1064.06086210879,24.7714365891623,2,1,3,3,2020-08-28,4,Luis,Karo
1,0,34.2124895874994,34.2124895874994,2,1,3,2,2020-08-01,5,Luis,Quirin
2,0,54.3554694363825,20.1429798488831,2,1,3,2,2020-08-01,5,Luis,Quirin
3,0,89.4494830756971,35.0940136393146,2,1,3,2,2020-08-01,5,Luis,Quirin
4,0,105.022046439889,15.5725633641916,2,1,3,2,2020-08-01,5,Luis,Quirin
4,1,113.082113969797,8.06006752990779,2,2,3,2,2020-08-01,5,Luis,Quirin
4,2,138.477553615568,25.3954396457719,1,2,3,2,2020-08-01,5,Luis,Quirin
4,3,161.513382644236,23.0358290286675,1,2,3,2,2020-08-01,5,Luis,Quirin
5,3,177.630114571761,16.1167319275251,1,1,3,2,2020-08-01,5,Luis,Quirin
6,3,207.609548810592,29.9794342388309,1,1,3,2,2020-08-01,5,Luis,Quirin
6,4,239.544029255289,31.9344804446975,1,2,3,2,2020-08-01,5,Luis,Quirin
6,5,252.378543313149,12.8345140578597,2,2,3,2,2020-08-01,5,Luis,Quirin
6,6,276.653861171166,24.2753178580168,2,2,3,2,2020-08-01,5,Luis,Quirin
7,6,292.518978781048,15.8651176098821,2,1,3,2,2020-08-01,5,Luis,Quirin
8,6,311.578281376664,19.0593025956164,2,1,3,2,2020-08-01,5,Luis,Quirin
8,7,322.543197639838,10.9649162631734,2,2,3,2,2020-08-01,5,Luis,Quirin
8,8,344.40200992963,21.8588122897917,1,2,3,2,2020-08-01,5,Luis,Quirin
8,9,363.152408194569,18.7503982649392,1,2,3,2,2020-08-01,5,Luis,Quirin
9,9,392.831631678167,29.6792234835987,1,1,3,2,2020-08-01,5,Luis,Quirin
10,9,434.62065910832,41.789027430153,1,1,3,2,2020-08-01,5,Luis,Quirin
11,9,460.372267868226,25.7516087599051,1,1,3,2,2020-08-01,5,Luis,Quirin
11,10,507.714143901451,47.341876033226,2,2,3,2,2020-08-01,5,Luis,Quirin
11,11,526.9193479247,19.2052040232491,2,2,3,2,2020-08-01,5,Luis,Quirin
11,12,560.297721378919,33.3783734542188,2,2,3,2,2020-08-01,5,Luis,Quirin
11,13,594.752823850244,34.4551024713245,2,2,3,2,2020-08-01,5,Luis,Quirin
11,14,610.128407609884,15.3755837596405,2,2,3,2,2020-08-01,5,Luis,Quirin
11,15,639.990012479274,29.8616048693894,1,2,3,2,2020-08-01,5,Luis,Quirin
11,16,663.82839174906,23.8383792697865,1,2,3,2,2020-08-01,5,Luis,Quirin
11,17,687.537526390137,23.7091346410764,1,2,3,2,2020-08-01,5,Luis,Quirin
12,17,704.50680626017,16.9692798700329,1,1,3,2,2020-08-01,5,Luis,Quirin
12,18,740.226712671207,35.7199064110378,1,2,3,2,2020-08-01,5,Luis,Quirin
13,18,748.494820427174,8.26810775596665,2,1,3,2,2020-08-01,5,Luis,Quirin
14,18,761.733200718523,13.2383802913492,2,1,3,2,2020-08-01,5,Luis,Quirin
14,19,790.721309749737,28.9881090312135,2,2,3,2,2020-08-01,5,Luis,Quirin
14,20,825.082167969692,34.3608582199551,2,2,3,2,2020-08-01,5,Luis,Quirin
15,20,844.969832817289,19.8876648475974,2,1,3,2,2020-08-01,5,Luis,Quirin
16,20,855.312605763843,10.3427729465539,1,1,3,2,2020-08-01,5,Luis,Quirin
17,20,867.306860358517,11.9942545946744,1,1,3,2,2020-08-01,5,Luis,Quirin
17,21,912.080170931663,44.7733105731459,1,2,3,2,2020-08-01,5,Luis,Quirin
0,1,16.9431010223049,16.9431010223049,2,2,3,2,2020-11-11,6,Karo,Otto
1,1,20.6113260404009,3.66822501809597,2,1,3,2,2020-11-11,6,Karo,Otto
2,1,47.7044737339122,27.0931476935113,2,1,3,2,2020-11-11,6,Karo,Otto
3,1,69.6719652436736,21.9674915097614,2,1,3,2,2020-11-11,6,Karo,Otto
3,2,86.7830901511378,17.1111249074642,2,2,3,2,2020-11-11,6,Karo,Otto
3,3,97.9345480258709,11.151457874733,1,2,3,2,2020-11-11,6,Karo,Otto
3,4,110.203273185192,12.2687251593215,1,2,3,2,2020-11-11,6,Karo,Otto
3,5,118.543222788839,8.33994960364676,1,2,3,2,2020-11-11,6,Karo,Otto
3,6,144.282838201033,25.7396154121939,1,2,3,2,2020-11-11,6,Karo,Otto
3,7,164.074246741562,19.791408540529,1,2,3,2,2020-11-11,6,Karo,Otto
3,8,180.984022200122,16.9097754585595,2,2,3,2,2020-11-11,6,Karo,Otto
3,9,216.685897611474,35.7018754113521,2,2,3,2,2020-11-11,6,Karo,Otto
4,9,244.03037891662,27.3444813051461,2,1,3,2,2020-11-11,6,Karo,Otto
5,9,282.853816303903,38.8234373872835,2,1,3,2,2020-11-11,6,Karo,Otto
6,9,308.601529122622,25.7477128187191,2,1,3,2,2020-11-11,6,Karo,Otto
6,10,342.225371057231,33.6238419346089,1,2,3,2,2020-11-11,6,Karo,Otto
7,10,368.057793654244,25.8324225970123,1,1,3,2,2020-11-11,6,Karo,Otto
7,11,397.366866537095,29.309072882851,1,2,3,2,2020-11-11,6,Karo,Otto
7,12,416.31457094297,18.9477044058754,1,2,3,2,2020-11-11,6,Karo,Otto
8,12,448.785841390531,32.4712704475604,1,1,3,2,2020-11-11,6,Karo,Otto
8,13,473.889422850336,25.1035814598052,2,2,3,2,2020-11-11,6,Karo,Otto
9,13,507.445515942528,33.5560930921924,2,1,3,2,2020-11-11,6,Karo,Otto
9,14,527.671232515385,20.2257165728571,2,2,3,2,2020-11-11,6,Karo,Otto
10,14,547.538237844734,19.8670053293487,2,1,3,2,2020-11-11,6,Karo,Otto
11,14,563.15262426999,15.6143864252561,2,1,3,2,2020-11-11,6,Karo,Otto
12,14,593.636404365722,30.4837800957325,1,1,3,2,2020-11-11,6,Karo,Otto
12,15,606.556616280122,12.9202119143991,1,2,3,2,2020-11-11,6,Karo,Otto
13,15,619.053221176036,12.4966048959149,1,1,3,2,2020-11-11,6,Karo,Otto
14,15,652.025023571153,32.9718023951168,1,1,3,2,2020-11-11,6,Karo,Otto
15,15,660.693465858951,8.66844228779777,1,1,3,2,2020-11-11,6,Karo,Otto
16,15,680.712581570692,20.0191157117408,2,1,3,2,2020-11-11,6,Karo,Otto
16,16,716.613806333123,35.9012247624313,2,2,3,2,2020-11-11,6,Karo,Otto
16,17,734.437528093377,17.8237217602542,2,2,3,2,2020-11-11,6,Karo,Otto
16,18,763.696726964946,29.2591988715691,2,2,3,2,2020-11-11,6,Karo,Otto
17,18,770.828228241912,7.13150127696592,2,1,3,2,2020-11-11,6,Karo,Otto
17,19,793.62888586195,22.8006576200378,1,2,3,2,2020-11-11,6,Karo,Otto
17,20,823.853724658844,30.2248387968937,1,2,3,2,2020-11-11,6,Karo,Otto
18,20,856.604740025184,32.7510153663401,1,1,3,2,2020-11-11,6,Karo,Otto
18,21,886.976792568269,30.3720525430854,1,2,3,2,2020-11-11,6,Karo,Otto
1,0,29.805584963279,29.805584963279,2,1,1,2,2021-04-02,7,Chris,Quirin
2,0,66.9734141940931,37.1678292308141,2,1,1,2,2021-04-02,7,Chris,Quirin
3,0,84.0095686485745,17.0361544544815,2,1,1,2,2021-04-02,7,Chris,Quirin
3,1,111.414126304921,27.4045576563461,2,2,1,2,2021-04-02,7,Chris,Quirin
4,1,144.323219888327,32.9090935834065,2,1,1,2,2021-04-02,7,Chris,Quirin
5,1,182.78745624688,38.4642363585526,1,1,1,2,2021-04-02,7,Chris,Quirin
5,2,206.046704893161,23.2592486462811,1,2,1,2,2021-04-02,7,Chris,Quirin
6,2,234.923492421596,28.8767875284354,1,1,1,2,2021-04-02,7,Chris,Quirin
7,2,271.684530209532,36.7610377879358,1,1,1,2,2021-04-02,7,Chris,Quirin
8,2,282.541797303811,10.8572670942789,1,1,1,2,2021-04-02,7,Chris,Quirin
8,3,304.07936303218,21.5375657283692,2,2,1,2,2021-04-02,7,Chris,Quirin
9,3,324.426864057272,20.3475010250921,2,1,1,2,2021-04-02,7,Chris,Quirin
10,3,346.419606248901,21.9927421916291,2,1,1,2,2021-04-02,7,Chris,Quirin
10,4,370.464295567271,24.0446893183696,2,2,1,2,2021-04-02,7,Chris,Quirin
11,4,399.310463017516,28.8461674502454,2,1,1,2,2021-04-02,7,Chris,Quirin
12,4,431.835147090784,32.5246840732671,1,1,1,2,2021-04-02,7,Chris,Quirin
13,4,471.555526788972,39.7203796981881,1,1,1,2,2021-04-02,7,Chris,Quirin
14,4,506.543899208611,34.9883724196392,1,1,1,2,2021-04-02,7,Chris,Quirin
15,4,538.027371855835,31.483472647224,1,1,1,2,2021-04-02,7,Chris,Quirin
15,5,556.810723701727,18.7833518458927,1,2,1,2,2021-04-02,7,Chris,Quirin
16,5,585.067734010591,28.2570103088633,2,1,1,2,2021-04-02,7,Chris,Quirin
17,5,600.477595016018,15.4098610054268,2,1,1,2,2021-04-02,7,Chris,Quirin
17,6,652.748332765065,52.2707377490475,2,2,1,2,2021-04-02,7,Chris,Quirin
18,6,688.571476522097,35.823143757032,2,1,1,2,2021-04-02,7,Chris,Quirin
19,6,710.587621674126,22.0161451520286,2,1,1,2,2021-04-02,7,Chris,Quirin
20,6,721.827854214599,11.2402325404728,1,1,1,2,2021-04-02,7,Chris,Quirin
20,7,754.460832273141,32.6329780585429,1,2,1,2,2021-04-02,7,Chris,Quirin
21,7,774.68116366743,20.220331394289,1,1,1,2,2021-04-02,7,Chris,Quirin
1,0,31.0861204637471,31.0861204637471,1,1,1,3,2020-08-03,8,Jonny,Luis
2,0,50.1415049868121,19.055384523065,1,1,1,3,2020-08-03,8,Jonny,Luis
2,1,80.0852725700517,29.9437675832396,1,2,1,3,2020-08-03,8,Jonny,Luis
2,2,109.485945275913,29.4006727058608,1,2,1,3,2020-08-03,8,Jonny,Luis
2,3,128.323586847747,18.8376415718344,1,2,1,3,2020-08-03,8,Jonny,Luis
3,3,168.078255311639,39.7546684638922,2,1,1,3,2020-08-03,8,Jonny,Luis
3,4,217.584771885608,49.5065165739684,2,2,1,3,2020-08-03,8,Jonny,Luis
4,4,256.967204733996,39.3824328483889,2,1,1,3,2020-08-03,8,Jonny,Luis
4,5,286.516079914963,29.5488751809664,2,2,1,3,2020-08-03,8,Jonny,Luis
4,6,317.384477655673,30.8683977407099,2,2,1,3,2020-08-03,8,Jonny,Luis
5,6,375.048618644133,57.6641409884605,1,1,1,3,2020-08-03,8,Jonny,Luis
5,7,408.925434676699,33.8768160325657,1,2,1,3,2020-08-03,8,Jonny,Luis
5,8,436.014110932792,27.0886762560932,1,2,1,3,2020-08-03,8,Jonny,Luis
6,8,459.456925523508,23.4428145907158,1,1,1,3,2020-08-03,8,Jonny,Luis
7,8,466.35328896537,6.89636344186236,1,1,1,3,2020-08-03,8,Jonny,Luis
8,8,486.050196145297,19.6969071799267,2,1,1,3,2020-08-03,8,Jonny,Luis
9,8,527.124660623639,41.0744644783418,2,1,1,3,2020-08-03,8,Jonny,Luis
10,8,535.975942737027,8.85128211338792,2,1,1,3,2020-08-03,8,Jonny,Luis
11,8,572.096262161288,36.1203194242613,2,1,1,3,2020-08-03,8,Jonny,Luis
12,8,581.829850948831,9.73358878754299,2,1,1,3,2020-08-03,8,Jonny,Luis
13,8,593.719257793195,11.8894068443641,1,1,1,3,2020-08-03,8,Jonny,Luis
14,8,624.518668614669,30.7994108214739,1,1,1,3,2020-08-03,8,Jonny,Luis
15,8,645.088066853551,20.5693982388818,1,1,1,3,2020-08-03,8,Jonny,Luis
16,8,684.369257816843,39.2811909632923,1,1,1,3,2020-08-03,8,Jonny,Luis
16,9,707.891109277219,23.5218514603759,1,2,1,3,2020-08-03,8,Jonny,Luis
17,9,731.747076397454,23.8559671202348,2,1,1,3,2020-08-03,8,Jonny,Luis
18,9,749.950883792478,18.2038073950239,2,1,1,3,2020-08-03,8,Jonny,Luis
19,9,783.952543465267,34.0016596727897,2,1,1,3,2020-08-03,8,Jonny,Luis
20,9,828.657797852342,44.7052543870744,2,1,1,3,2020-08-03,8,Jonny,Luis
21,9,874.309720250039,45.6519223976971,2,1,1,3,2020-08-03,8,Jonny,Luis
0,1,27.7661764810786,27.7661764810786,2,2,3,1,2020-06-30,9,Karo,Chris
0,2,77.0179928838659,49.2518164027873,2,2,3,1,2020-06-30,9,Karo,Chris
0,3,116.451714344705,39.4337214608391,2,2,3,1,2020-06-30,9,Karo,Chris
0,4,136.575054622204,20.1233402774988,2,2,3,1,2020-06-30,9,Karo,Chris
0,5,160.225560227363,23.6505056051593,2,2,3,1,2020-06-30,9,Karo,Chris
0,6,168.09243075828,7.86687053091728,1,2,3,1,2020-06-30,9,Karo,Chris
0,7,187.416443057141,19.3240122988605,1,2,3,1,2020-06-30,9,Karo,Chris
1,7,200.022573823141,12.6061307659998,1,1,3,1,2020-06-30,9,Karo,Chris
1,8,260.429909849684,60.4073360265432,1,2,3,1,2020-06-30,9,Karo,Chris
1,9,267.43641496905,7.00650511936605,1,2,3,1,2020-06-30,9,Karo,Chris
1,10,300.7271870446,33.2907720755505,2,2,3,1,2020-06-30,9,Karo,Chris
1,11,339.257482681,38.5302956363993,2,2,3,1,2020-06-30,9,Karo,Chris
1,12,373.408479400312,34.1509967193119,2,2,3,1,2020-06-30,9,Karo,Chris
2,12,398.555181909747,25.1467025094353,2,1,3,1,2020-06-30,9,Karo,Chris
3,12,428.846125089116,30.2909431793688,2,1,3,1,2020-06-30,9,Karo,Chris
3,13,452.5084220852,23.6622969960846,1,2,3,1,2020-06-30,9,Karo,Chris
3,14,471.526795817111,19.0183737319104,1,2,3,1,2020-06-30,9,Karo,Chris
3,15,513.473197763458,41.9464019463477,1,2,3,1,2020-06-30,9,Karo,Chris
3,16,535.486517496807,22.0133197333485,1,2,3,1,2020-06-30,9,Karo,Chris
4,16,544.201293122468,8.71477562566117,1,1,3,1,2020-06-30,9,Karo,Chris
5,16,558.675764333459,14.4744712109904,2,1,3,1,2020-06-30,9,Karo,Chris
5,17,594.434795062352,35.7590307288929,2,2,3,1,2020-06-30,9,Karo,Chris
6,17,613.751259157983,19.3164640956317,2,1,3,1,2020-06-30,9,Karo,Chris
7,17,627.313588809579,13.5623296515956,2,1,3,1,2020-06-30,9,Karo,Chris
8,17,642.018047512491,14.7044587029118,2,1,3,1,2020-06-30,9,Karo,Chris
9,17,667.006449431852,24.9884019193616,1,1,3,1,2020-06-30,9,Karo,Chris
9,18,692.599761926504,25.5933124946513,1,2,3,1,2020-06-30,9,Karo,Chris
9,19,710.215620993541,17.6158590670378,1,2,3,1,2020-06-30,9,Karo,Chris
9,20,735.029691466398,24.8140704728567,1,2,3,1,2020-06-30,9,Karo,Chris
10,20,741.119807870786,6.09011640438767,1,1,3,1,2020-06-30,9,Karo,Chris
11,20,752.79609744134,11.6762895705542,2,1,3,1,2020-06-30,9,Karo,Chris
11,21,790.359809255597,37.5637118142574,2,2,3,1,2020-06-30,9,Karo,Chris
0,1,14.4524212300089,14.4524212300089,1,2,2,2,2020-06-14,10,Quirin,Otto
0,2,36.3545587419895,21.9021375119807,1,2,2,2,2020-06-14,10,Quirin,Otto
0,3,54.7183669416716,18.3638081996821,1,2,2,2,2020-06-14,10,Quirin,Otto
1,3,75.3644957319991,20.6461287903274,1,1,2,2,2020-06-14,10,Quirin,Otto
2,3,118.591120565921,43.2266248339222,1,1,2,2,2020-06-14,10,Quirin,Otto
3,3,158.602287247222,40.0111666813003,2,1,2,2,2020-06-14,10,Quirin,Otto
4,3,177.68908758449,19.0868003372681,2,1,2,2,2020-06-14,10,Quirin,Otto
5,3,212.43498134107,34.7458937565807,2,1,2,2,2020-06-14,10,Quirin,Otto
5,4,249.417601786212,36.9826204451421,2,2,2,2,2020-06-14,10,Quirin,Otto
